uf;20240430;20240531;20240630;20240731;20240831;20240930;historico
AC;39746;39641;39431;39182;39096;39022;39746,39641,39431,39182,39096,39022
AL;6515;6525;6467;6459;6425;6315;6515,6525,6467,6459,6425,6315
AM;109966;110459;110589;110511;110227;109638;109966,110459,110589,110511,110227,109638
AP;30459;30480;30378;30248;30167;30054;30459,30480,30378,30248,30167,30054
BA;152000;150451;148927;147774;147016;146082;152000,150451,148927,147774,147016,146082
CE;68333;67149;66078;65045;63981;62739;68333,67149,66078,65045,63981,62739
DF;150869;150508;150033;149303;148213;147019;150869,150508,150033,149303,148213,147019
ES;95792;97086;97560;98041;97427;96709;95792,97086,97560,98041,97427,96709
GO;268809;268823;267674;266000;263925;261331;268809,268823,267674,266000,263925,261331
MA;72818;72417;72014;71360;70520;69730;72818,72417,72014,71360,70520,69730
MG;379847;378620;377312;374664;371526;368053;379847,378620,377312,374664,371526,368053
MS;81725;81907;81610;80976;79968;79208;81725,81907,81610,80976,79968,79208
MT;73880;74520;74865;74831;74510;74167;73880,74520,74865,74831,74510,74167
PA;125491;126060;125657;124931;124163;123067;125491,126060,125657,124931,124163,123067
PB;5666;5614;5528;5480;5412;5341;5666,5614,5528,5480,5412,5341
PE;43529;43065;42603;42130;41433;40684;43529,43065,42603,42130,41433,40684
PI;26917;26558;26281;25935;25655;25305;26917,26558,26281,25935,25655,25305
PR;455633;453255;450543;447259;442792;438706;455633,453255,450543,447259,442792,438706
RJ;691595;690200;685870;683080;679170;675280;691595,690200,685870,683080,679170,675280
RN;7571;7515;7394;7209;7026;6883;7571,7515,7394,7209,7026,6883
RO;84016;83707;83237;82712;82234;81667;84016,83707,83237,82712,82234,81667
RR;48725;48706;48629;48781;48851;48860;48725,48706,48629,48781,48851,48860
RS;388234;387842;389629;388227;384197;380672;388234,387842,389629,388227,384197,380672
SC;136914;136789;136469;136250;135296;134283;136914,136789,136469,136250,135296,134283
SE;14154;14092;13963;13882;13774;13647;14154,14092,13963,13882,13774,13647
SP;13208;13160;13430;13550;13636;13703;13208,13160,13430,13550,13636,13703
TO;26748;26876;26880;26822;26746;26829;26748,26876,26880,26822,26746,26829
